,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,EI_market,EI_MEF,EI_AEF,EI_L,LGCs,Ratio,Location
44,SA1,2021,3.170361509,84285694.43,60,0.738769209,5540.32541,-14.81722554,-6.703458089,-6.860609806,-3.871959749,47947684.75,-23526460.22,-48306.82327,-28844.19905,22124.3309,12443.58145,16019.15189,2430.333702,Pipeline,997.9419289,29130,-3943248.474,1576800,0,0,1.2,0,1,,-0.376071714,-0.17013853,-0.174127152,-0.09827309,-0.464286067,2.157911517,SA1
45,SA1,2021,3.192250388,89312512.6,60,0.7590361,5540.32541,-19.50076467,-9.665380697,-8.564758625,-5.37190174,55582881.52,-21701222.87,-132005.1626,-37961.48856,23968.02514,13480.54657,16019.15189,2428.658661,Pipeline,997.9433473,31558,-4519422.241,1576800,0,0,1.3,0,1,,-0.494943266,-0.245314231,-0.217379661,-0.136342684,-0.611041069,2.337737476,SA1
46,SA1,2021,3.214922829,94344699.63,60,0.777356639,5540.32541,-24.16256578,-12.62644268,-10.26326027,-6.859909605,63318095.95,-20051274.09,-290974.4295,-47036.46139,25811.71938,14517.51169,16019.15189,2432.374671,Pipeline,997.9402005,33985,-5094430.964,1576800,0,0,1.4,0,1,,-0.613263091,-0.320468088,-0.260488839,-0.174109381,-0.757114927,2.517563436,SA1
47,SA1,2021,3.238342582,99380225.41,60,0.79392791,5540.32541,-28.89342806,-15.60748241,-11.96981044,-8.364536843,71315671.18,-18558864.41,-345121.9834,-56245.87328,27655.41362,15554.47681,16019.15189,2439.443297,Pipeline,997.9342146,36413,-5668129.428,1576800,0,0,1.5,0,1,,-0.733335738,-0.396128995,-0.303802295,-0.212297889,-0.905352762,2.697389395,SA1
48,NSW1,2021,3.887141007,26393158.93,60,0,4812.777216,37.5661476,36.58487242,39.46907288,38.83868571,0,-90060058.29,0,73128.76733,0,0,18440.76929,1623.906689,Pipeline,998.6248327,18713,4776247.089,1576800,0,0,0,0,1,,0.953455523,0.928550061,1.001753119,0.985753444,1.177105584,0,NSW1
49,NSW1,2021,3.941658266,32702822.51,60,0.088710523,4812.777216,33.39646103,32.88216323,35.28744634,34.69047287,1629698.663,-82070783.41,-3.74E-11,65011.77746,2123.667785,1678.966176,18440.76929,1623.906689,Pipeline,998.6248327,18713,4112296.596,1576800,0,0,0.1,0,1,,0.847625914,0.834572671,0.895620465,0.880468855,1.046451746,0.20620799,NSW1
50,NSW1,2021,3.996744401,39012486.09,60,0.175820116,4812.777216,29.21285023,29.19624203,31.10582445,30.54226003,3403577.194,-74225688.4,-7.47E-11,56867.68178,4247.335569,3357.932352,18440.76929,1623.906689,Pipeline,998.6248327,18713,3449627.537,1576800,0,0,0.2,0,1,,0.741442899,0.741021371,0.78948793,0.775184265,0.915361604,0.412415979,NSW1
51,NSW1,2021,4.052428605,45322149.67,60,0.261164794,4812.777216,25.01388895,25.51399614,26.92847767,26.39404719,5336404.014,-66539541.67,-1.66E-10,48693.70383,6371.003354,5036.898528,18440.76929,1623.906689,Pipeline,998.6248327,18713,2788305.673,1576800,0,0,0.3,0,1,,0.634870278,0.647563354,0.6834639,0.669899675,0.783790467,0.618623969,NSW1
52,NSW1,2021,4.108729474,51627917.3,60,0.345172353,4812.777216,20.80329796,21.85769279,22.75728643,22.24583435,7389651.962,-58973816.08,-1.49E-10,40497.08669,8494.671139,6715.864704,18440.76929,1620,Pipeline,998.628141,18713,2128808.273,1576800,0,0,0.4,0,1,,0.528002486,0.554763776,0.577596102,0.564615085,0.651854921,0.824831958,NSW1
53,NSW1,2021,4.165826115,57937580.88,60,0.425952436,4812.777216,16.56463575,18.18355676,18.57495003,18.09762151,9733566.454,-51698757.03,-1.96E-10,32245.82425,10618.33892,8394.830879,18440.76929,1620,Pipeline,998.628141,18713,1470668.022,1576800,0,0,0.5,0,1,,0.420422227,0.461511593,0.471445432,0.459330495,0.519039786,1.031039947,NSW1
54,NSW1,2021,4.224471562,64247244.46,60,0.502259539,4812.777216,12.28768648,14.5339944,14.39150566,13.94992669,12479116.71,-44826534.95,-1201.212781,23920.02968,12742.00671,10073.79706,18440.76929,1620,Pipeline,998.628141,18713,816016.5667,1576800,0,0,0.6,0,1,,0.311870215,0.368883107,0.365266641,0.354059053,0.385024957,1.237247938,NSW1
55,NSW1,2021,4.286925403,70560803.99,60,0.566756113,4812.777216,7.923073211,10.90036242,10.21994105,9.814874021,16259008.87,-39017969.68,-31717.32514,15423.58252,14865.67449,11752.76323,18440.76929,1623.906689,Pipeline,998.6248327,22182,169508.4094,1576800,0,0,0.7,0,1,,0.201093229,0.276658945,0.259389367,0.249108478,0.248263245,1.443455926,NSW1
56,NSW1,2021,4.352830498,76870467.57,60,0.621192448,4812.777216,3.43899096,7.236747054,6.029121452,5.652982982,21007160.27,-34115430.22,-2.99E-10,6694.569068,16989.34228,13431.72941,18440.76929,1623.906689,Pipeline,998.6248327,25351,-468790.168,1576800,0,0,0.8,0,1,,0.087284035,0.183673783,0.153023387,0.143476725,0.107758067,1.649663916,NSW1
57,NSW1,2021,4.421567537,83180131.15,60,0.66723818,4812.777216,-1.101776088,3.562251453,1.852462264,1.504770141,26479252.49,-29968548.9,-5.06E-10,-2144.790785,19113.01006,15110.69558,18440.76929,1623.906689,Pipeline,998.6248327,28520,-1100709.591,1576800,0,0,0.9,0,1,,-0.02796386,0.090412473,0.047016809,0.038192136,-0.034523284,1.855871905,NSW1
58,NSW1,2021,4.492809151,89518181.19,60,0.70622831,4812.777216,-5.703909803,-0.115437407,-2.324961471,-2.643442701,32586772.61,-26457095.48,-3.91E-10,-11103.61108,21236.67785,16789.66176,18440.76929,1652.372119,Pipeline,998.6007274,31689,-1730159.533,1576800,0,0,1,0,1,,-0.144769284,-0.002929883,-0.059009174,-0.067092454,-0.178727511,2.062079895,NSW1
59,NSW1,2021,4.567906087,95827844.77,60,0.735160661,4812.777216,-10.39352187,-3.81592329,-6.507396332,-6.791655542,39600096.99,-23851446.32,-4.33E-10,-20232.72258,23360.34563,18468.62793,18440.76929,1652.372119,Pipeline,998.6007274,34858,-2347752.835,1576800,0,0,1.1,0,1,,-0.263794971,-0.096850845,-0.165162343,-0.172377044,-0.325672804,2.268287884,NSW1
60,NSW1,2021,4.6445663,102137508.3,60,0.759422793,4812.777216,-15.12267159,-7.489824392,-10.68500015,-10.93896008,47031915.29,-21666397.28,-2106.205047,-29438.8007,25484.01342,20147.59411,18440.76929,1652.372119,Pipeline,998.6007274,38027,-2961824.74,1576800,0,0,1.2,0,1,,-0.383824152,-0.190097066,-0.271192897,-0.277638581,-0.473856978,2.474495874,NSW1
61,NSW1,2021,4.722563762,108457941.7,60,0.780929236,4812.777216,-19.86829098,-11.1654508,-14.86405286,-15.07996985,54697314.72,-19729525.8,-18808.84301,-38676.93977,27607.6812,21826.56029,18440.76929,1663.172261,Pipeline,998.5915816,41195,-3574087.952,1576800,0,0,1.3,0,1,,-0.504271345,-0.283387076,-0.377260225,-0.382740352,-0.622557216,2.680703864,NSW1
62,NSW1,2021,4.801818475,114775928.9,60,0.799789071,4812.777216,-24.6481715,-14.85577484,-19.048234,-19.2304174,62622952.3,-18031007.94,-13626.94271,-47981.77385,29731.34899,23505.52646,18440.76929,1671.519447,Pipeline,998.5845129,44364,-4183245.747,1576800,0,0,1.4,0,1,,-0.625588109,-0.377050123,-0.483457716,-0.48808166,-0.772330999,2.886911853,NSW1
63,NSW1,2021,4.882243347,121080351.1,60,0.815729747,4812.777216,-29.44758428,-18.55382561,-23.22383016,-23.37594766,70800087.2,-16595389.73,-19847.37551,-57324.63074,31855.01677,25184.49264,18440.76929,1666.263151,Pipeline,998.5889641,47533,-4788251.747,1576800,0,0,1.5,0,1,,-0.747400616,-0.470909279,-0.589437314,-0.593298164,-0.92271681,3.093119843,NSW1
64,VIC1,2021,3.155916072,27181944.73,60,0,4833.100182,37.5661476,32.54686416,43.35374725,45.12141429,0,-90060058.29,0,73128.76733,0,0,18363.22669,2520,Pipeline,997.8659971,18635,3045104.934,1576800,0,0,0,0,1,,0.953455523,0.826062542,1.100348915,1.145213561,1.177105584,0,VIC1
65,VIC1,2021,3.304313505,33109756.51,60,0.083774406,4833.100182,33.4132383,29.47620674,38.98296894,40.36040225,1958011.085,-82515330.42,-5.70E-11,65044.43722,2114.702754,1357.411734,18363.22669,2500.615272,Pipeline,997.8824126,18635,2640989.667,1576800,0,0,0.1,0,1,,0.848051734,0.748127075,0.989415455,1.024375692,1.046977449,0.18907976,VIC1
66,VIC1,2021,3.453169196,39062260.49,60,0.165865729,4833.100182,29.24569024,26.35825673,34.59080369,35.59939022,4067600.69,-75122181.07,-1.14E-10,56931.61034,4229.405507,2714.823468,18363.22669,2506.028114,Pipeline,997.8778288,18635,2235147.243,1576800,0,0,0.2,0,1,,0.742276402,0.668991288,0.87793918,0.903537823,0.91639062,0.378159519,VIC1
