,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,Ratio,EI_market,EI_MEF,EI_AEF,EI_L,LGCs (per REC/MWh),EI_MEF-EI_Market
52,NSW1,2021,4.05066529,50546818.48,60,0.346838396,4822.917513,20.39952953,21.52020098,22.38357243,21.89470336,8053818.839,-58823772.16,-1.10E-10,39711.08415,8456.393132,7326.626304,18401.99714,17.81040382,Pipeline,996.4889364,18674,2111475.54,1576800,0,0,0.4,1,24,0.857679703,0.612598484,0.646252282,0.672179352,0.657498599,-0.756294425,0.033653798
53,NSW1,2021,4.112143893,57014950.41,60,0.428297261,4822.917513,16.06220633,17.79728506,18.11986898,17.65870777,10540154.94,-51487582.01,-3.41E-10,31267.76166,10570.49142,9158.28288,18401.99714,33.68654608,Pipeline,993.3591845,18674,1443140.245,1576800,0,0,0.5,1,24,1.072099629,0.482348538,0.534453005,0.54414021,0.530291525,-0.595492023,0.052104467
54,NSW1,2021,4.175180999,63494780.9,60,0.504252287,4822.917513,11.67701305,14.07376193,13.84345938,13.42271218,13522167.06,-44647067.9,-2.05E-10,22731.25207,12684.5897,10989.93946,18401.99714,61.62501047,Pipeline,987.8515201,19667,777008.2481,1576800,0,0,0.6,1,24,1.286519554,0.350661053,0.422635493,0.415719501,0.40308445,-0.43291488,0.07197444
55,NSW1,2021,4.241921541,69966592.92,60,0.569523958,4822.917513,7.199237532,10.30931594,9.570119377,9.186999605,17465666.59,-38768697.44,-656.2561903,14014.51573,14798.68798,12821.59603,18401.99714,81.58352555,Pipeline,983.9169874,22945,120114.5884,1576800,0,0,0.7,1,24,1.50093948,0.216193319,0.309589067,0.287390972,0.275885874,-0.266905332,0.093395748
56,NSW1,2021,4.311873455,76407570.75,60,0.623912424,4822.917513,2.630008281,6.564073661,5.301970509,4.95397665,22383071.35,-33870468.98,-7549.271721,5119.749454,16912.78626,14653.25261,18401.99714,69.79253873,Pipeline,986.24141,26223,-526099.4296,1576800,0,0,0.8,1,24,1.715359405,0.078979228,0.197119329,0.159218334,0.148768068,-0.097505219,0.118140101
57,NSW1,2021,4.383847796,84009775.91,60,0.692941404,4822.917513,-1.819302906,2.985272506,0.939280984,0.714725414,25996392.95,-27653715.06,-3.94E-10,-3541.576324,19026.88455,16484.90918,18401.99714,2035.015765,Pipeline,598.8260633,29111,-1297527.792,1576800,0,0,0.9,1,24,1.929779331,-0.054633721,0.089647823,0.028206636,0.021463226,0.067449038,0.144281544
58,NSW1,2021,4.458664564,90453160.46,60,0.734133549,4822.917513,-6.506849167,-0.744998555,-3.3105635,-3.521270174,32109152.25,-23943948.12,-0.002268699,-12666.66638,21140.98283,18316.56576,18401.99714,1991.2295,Pipeline,607.4578923,32345,-1933052.335,1576800,8.87E-09,0,1,1,24,2.144199257,-0.195400876,-0.022372329,-0.099416321,-0.105743849,0.241235649,0.173028547
59,NSW1,2021,4.537951133,96905299.65,60,0.763650472,4822.917513,-11.29594161,-4.509402321,-7.572400801,-7.757265764,39273382.62,-21285652.24,-4.68E-10,-21989.433,23255.08111,20148.22234,18401.99714,1989.938549,Pipeline,607.7123848,36057,-2559486.686,1576800,0,0,1.1,1,24,2.358619182,-0.339217466,-0.135417487,-0.227399423,-0.232950924,0.418786995,0.203799979
60,NSW1,2021,4.618901087,103358088.9,60,0.788501415,4822.917513,-16.1256168,-8.283625887,-11.83412179,-11.99326135,46857831.52,-19047574.9,-4.10E-10,-31391.2007,25369.1794,21979.87891,18401.99714,1991.669286,Pipeline,607.3711949,39334,-3182246.786,1576800,0,0,1.2,1,24,2.573039108,-0.484252757,-0.248757534,-0.355379033,-0.360157998,0.59784291,0.235495223
61,NSW1,2021,4.701182062,109820583.6,60,0.808840436,4822.917513,-20.99453479,-12.04780868,-16.09608813,-16.22925694,54848624.34,-17215841.48,-7.40E-10,-40869.36106,27483.27768,23811.53549,18401.99714,2040.816327,Pipeline,597.6825665,42612,-3803093.282,1576800,0,0,1.3,1,24,2.787459034,-0.63046651,-0.361796056,-0.48336601,-0.487365073,0.778353716,0.268670454
62,NSW1,2021,4.785926858,116261043.5,60,0.825944152,4822.917513,-25.89159211,-15.82775159,-20.3531275,-20.46525253,63130788.95,-15675479.85,-3.03E-10,-50402.29931,29597.37596,25643.19206,18401.99714,1982.987117,Pipeline,609.0827591,45890,-4415927.397,1576800,0,0,1.4,1,24,3.001878959,-0.777525289,-0.475307856,-0.61120503,-0.614572148,0.959907764,0.302217433
63,NSW1,2021,4.871013772,122725417.5,60,0.840319401,4822.917513,-30.81238049,-19.57507002,-24.61341387,-24.70124812,71658679.37,-14380844.02,-4.82E-10,-59981.43402,31711.47425,27474.84864,18401.99714,2040.816327,Pipeline,597.6825665,49168,-5030663.329,1576800,0,0,1.5,1,24,3.216298885,-0.925296711,-0.587839941,-0.739141558,-0.741779223,1.142341619,0.33745677
64,VIC1,2021,3.044735356,25825201.85,60,0,4880.483915,37.5661476,32.84915363,43.18608618,45.12141429,0,-90060058.29,0,73128.76733,0,0,18184.94146,2344.812354,Pipeline,595.9410713,18454,2955807.302,1576800,0,0,0,1,24,0,1.128112541,0.98646107,1.296879465,1.354997426,-1.392731532,-0.141651471
65,VIC1,2021,3.195309765,31793990.33,60,0.082947598,4880.483915,33.39502762,29.72930001,38.79289685,40.34965488,2053924.605,-82589792.73,-3.81E-11,65008.9871,2087.454247,1441.442174,18184.94146,2327.407429,Pipeline,596.0407785,18454,2551269.277,1576800,0,0,0.1,1,24,0.194055968,1.002853682,0.892771772,1.164951857,1.211701348,-1.238090966,-0.11008191
