,Wind
1424,191935.47
1425,185428.16
1426,176743.32
1427,187922.41
1428,217636.42
1429,256715.47
1430,282880.07
1431,282880.07
1432,282880.07
1433,282880.07
1434,282880.07
1435,282880.07
1436,282880.07
1437,282880.07
1438,282880.07
1439,282880.07
1440,282880.07
1441,282880.07
1442,282880.07
1443,282880.07
1444,282880.07
1445,282880.07
1446,282880.07
1447,282880.07
1448,282880.07
1449,276121.04
1450,282880.07
1451,264927.83
1452,241311.04
1453,243388.38
1454,242732.49
1455,227490.33
1456,211697.68
1457,192679.09
1458,204780.61
1459,212262.31
1460,220436.45
1461,218550.56
1462,195508.77
1463,167923.52
1464,130721.12
1465,164367.2
1466,162762.71
1467,158158.6
1468,142918.4
1469,137349.0
1470,135469.81
1471,131630.55
1472,116263.85
1473,86569.45
1474,77419.24
1475,69670.84
1476,68108.11
1477,52299.07
1478,41750.45
1479,52182.05
1480,73579.87
1481,105407.5
1482,105698.7
1483,92285.88
1484,114524.74
1485,110511.04
1486,111527.97
1487,116395.18
1488,124116.13
1489,129632.98
1490,127879.57
1491,138120.66
1492,140169.09
1493,146759.04
1494,149728.74
1495,135678.06
1496,162648.72
1497,166019.36
1498,140580.62
1499,134433.52
1500,158986.0
1501,185827.36
1502,228503.98
1503,282880.07
1504,282880.07
1505,282880.07
1506,282880.07
1507,282880.07
1508,252213.87
1509,238783.03
1510,260742.15
1511,282563.65
1512,282880.07
1513,282880.07
1514,282880.07
1515,282880.07
1516,282880.07
1517,282880.07
1518,282880.07
1519,282880.07
1520,282880.07
1521,282880.07
1522,270228.75
1523,245350.34
1524,231654.21
1525,243821.03
1526,264990.96
1527,266585.34
1528,263781.78
1529,272906.14
1530,265492.37
1531,278070.91
1532,282880.07
1533,282880.07
1534,282880.07
1535,282880.07
1536,282880.07
1537,282880.07
1538,282880.07
1539,273516.37
1540,250384.63
1541,231195.14
1542,214028.69
1543,169747.35
1544,92922.62
1545,48854.86
1546,24857.24
1547,16190.74
1548,20136.35
1549,28410.99
1550,35778.36
1551,44797.98
1552,57894.01
1553,68787.88
1554,66280.22
1555,67590.28
1556,64446.33
1557,48776.27
1558,36189.07
1559,37582.41
1560,30634.24
1561,23921.22
1562,14736.21
1563,13883.77
1564,10332.06
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,935.6
1571,20028.93
1572,28582.68
1573,22214.94
1574,12367.61
1575,2513.34
1576,0.0
1577,9242.25
1578,46769.0
1579,116836.53
1580,125933.31
1581,84824.81
1582,64509.17
1583,60946.77
1584,59979.82
1585,48624.47
1586,30007.54
1587,12816.46
1588,6551.95
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,5588.82
1597,17891.67
1598,37744.68
1599,60367.56
1600,93801.01
1601,143837.56
1602,193217.95
1603,200591.02
1604,161228.88
1605,139932.82
1606,130741.59
1607,148581.95
1608,124200.0
1609,133675.33
1610,134689.86
1611,132396.78
1612,124156.0
1613,115092.32
1614,106970.64
1615,89315.58
1616,76847.41
1617,81834.76
1618,65470.66
1619,62714.62
1620,55042.49
1621,46097.99
1622,46707.32
1623,53794.84
1624,71996.53
1625,88666.65
1626,97190.54
1627,120774.81
1628,129000.09
1629,85717.07
1630,68924.23
1631,46034.64
1632,34529.16
1633,27605.83
1634,21086.31
1635,22084.35
1636,21520.79
1637,17930.1
1638,17265.5
1639,20268.5
1640,17952.46
1641,14576.39
1642,13970.74
1643,14013.42
1644,12317.18
1645,8812.88
1646,8772.69
1647,382.8
1648,0.0
1649,11741.15
1650,23021.19
1651,68665.0
1652,99255.71
1653,85534.36
1654,77159.7
1655,58783.15
1656,35954.14
1657,30869.51
1658,20045.63
1659,10091.82
1660,1043.46
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,3709.93
1673,31986.81
1674,63601.72
1675,73173.19
1676,47547.46
1677,26924.78
1678,12717.95
1679,4668.89
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,9199.68
1691,12185.07
1692,11429.76
1693,9109.37
1694,7561.15
1695,7100.79
1696,6796.44
1697,7771.3
1698,9058.24
1699,39937.14
1700,157435.76
1701,282880.07
1702,282880.07
1703,282880.07
1704,282880.07
1705,282880.07
1706,282880.07
1707,282880.07
1708,282880.07
1709,282880.07
1710,282880.07
1711,282880.07
1712,282880.07
1713,282880.07
1714,282880.07
1715,282880.07
1716,282880.07
1717,282880.07
1718,282880.07
1719,282880.07
1720,282880.07
1721,282880.07
1722,282880.07
1723,282880.07
1724,282880.07
1725,282880.07
1726,282880.07
1727,282880.07
1728,282880.07
1729,282880.07
1730,282880.07
1731,282880.07
1732,282880.07
1733,249470.23
1734,282880.07
1735,279780.34
1736,204636.39
1737,180697.21
1738,129334.31
1739,100656.53
1740,77334.56
1741,65890.44
1742,73047.32
1743,70338.78
1744,74476.25
1745,55989.78
1746,45699.8
1747,44344.84
1748,32553.74
1749,10124.13
1750,0.0
1751,0.0
1752,13451.52
1753,34451.7
1754,64402.53
1755,100080.84
1756,136809.31
1757,165348.16
1758,181263.35
1759,170428.81
1760,109763.72
1761,145335.48
1762,129135.57
1763,103831.7
1764,78395.77
1765,68209.81
1766,63650.79
1767,63741.86
1768,72272.74
1769,87000.38
1770,99932.03
1771,105257.75
1772,95948.99
1773,72166.52
1774,77224.84
