,Solar
1401,519.69
1402,598.71
1403,627.79
1404,634.86
1405,589.58
1406,564.85
1407,276.58
1408,188.76
1409,42.82
1410,-0.0
1411,-0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,0.0
1423,23.48
1424,194.47
1425,475.84
1426,282.49
1427,152.53
1428,142.61
1429,267.63
1430,225.37
1431,97.91
1432,57.75
1433,22.08
1434,-0.0
1435,-0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,89.61
1448,769.23
1449,769.23
1450,769.23
1451,769.23
1452,769.23
1453,767.59
1454,670.38
1455,595.6
1456,343.66
1457,131.47
1458,-0.0
1459,-0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,0.0
1471,84.5
1472,769.23
1473,769.23
1474,769.23
1475,769.23
1476,769.23
1477,767.95
1478,520.99
1479,465.89
1480,352.71
1481,134.48
1482,-0.0
1483,-0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,65.79
1496,586.38
1497,659.91
1498,705.14
1499,731.01
1500,717.0
1501,597.46
1502,431.26
1503,355.16
1504,315.98
1505,148.85
1506,-0.0
1507,-0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,72.27
1520,694.18
1521,769.23
1522,769.23
1523,769.23
1524,769.23
1525,769.23
1526,734.02
1527,633.45
1528,309.31
1529,102.86
1530,-0.0
1531,-0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,84.98
1544,754.26
1545,745.85
1546,701.95
1547,673.47
1548,656.63
1549,647.43
1550,572.72
1551,570.29
1552,258.26
1553,171.51
1554,-0.0
1555,-0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,60.56
1568,631.32
1569,707.65
1570,769.23
1571,769.23
1572,769.23
1573,714.12
1574,715.47
1575,588.08
1576,286.03
1577,117.03
1578,-0.0
1579,-0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,55.42
1592,624.57
1593,769.23
1594,769.23
1595,769.23
1596,769.23
1597,769.23
1598,742.72
1599,572.68
1600,315.17
1601,125.71
1602,-0.0
1603,-0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,77.97
1616,769.23
1617,769.23
1618,769.23
1619,769.23
1620,769.23
1621,753.25
1622,673.48
1623,469.58
1624,337.04
1625,120.72
1626,-0.0
1627,-0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,98.64
1640,769.23
1641,769.23
1642,769.23
1643,769.23
1644,769.23
1645,680.05
1646,637.84
1647,583.0
1648,343.96
1649,121.54
1650,-0.0
1651,-0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,54.75
1664,709.9
1665,540.14
1666,449.97
1667,371.09
1668,230.01
1669,164.42
1670,153.01
1671,142.07
1672,74.7
1673,16.2
1674,-0.0
1675,-0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,45.25
1688,566.83
1689,769.23
1690,769.23
1691,769.23
1692,769.23
1693,769.23
1694,756.59
1695,596.76
1696,349.7
1697,134.49
1698,-0.0
1699,-0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,28.87
1712,571.99
1713,715.75
1714,707.78
1715,686.26
1716,645.69
1717,603.97
1718,583.93
1719,469.34
1720,328.88
1721,115.21
1722,-0.0
1723,-0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,40.92
1736,622.83
1737,769.23
1738,769.23
1739,769.23
1740,629.15
1741,577.69
1742,538.89
1743,513.23
1744,352.92
1745,165.98
1746,-0.0
1747,-0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
