,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_GCO,EI_MEF,EI_MeanEI,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,New_EI_GCO,New_EI_MEF,New_EI_AEF,New_EI_L,RECs,Ratio
48,NSW1,2021,3.628820264,31726264.7,60,0.273054365,3828.435209,25.85546246,26.29426302,26.46946587,27.02059518,2347375.766,-53110332.15,0,40778.21394,6733.310277,0,18781.82497,34508.311,18818.73866,1832919.52,1277500,0,0,0.3,0,24,,0.776440314,0.789617508,0.794878855,0.811429285,0.958568289,0.358501386
49,NSW1,2021,3.601893992,34983681.34,60,0.36255296,3828.435209,21.92361126,22.60504739,22.47000353,23.06557601,3240124.658,-46572879.58,0,34577.05356,8977.747036,0,18781.82497,34612.15636,18670.60993,1339619.153,1277500,0,0,0.4,0,24,,0.658366705,0.678830252,0.674774881,0.69265994,0.812798401,0.478001848
50,NSW1,2021,3.577671039,38207224.14,60,0.450845931,3828.435209,17.98060278,18.90335663,18.47919113,19.10990165,4221157.389,-40122479.98,0,28358.29636,11222.1838,0,18781.82497,33094.13987,18445.54354,855412.7461,1277500,0,0,0.5,0,24,,0.539958041,0.567668367,0.554930665,0.573870921,0.666614866,0.597502309
51,NSW1,2021,3.556782198,41430257.48,60,0.537975849,3828.435209,14.02695658,15.22421417,14.52580598,15.15374497,5287517.764,-33756501.88,0,22122.76176,13466.62055,0,18781.82497,31859.25856,18139.45329,377612.1208,1277500,0,0,0.6,0,24,,0.421229927,0.457183609,0.43621039,0.455067416,0.520036947,0.717002771
52,NSW1,2021,3.540694049,44694550.15,60,0.620415284,3828.435209,10.03395554,11.63809533,10.59673462,11.19894243,6695019.797,-27734209.44,0,15825.15827,15711.05731,0,18781.82497,33715.07725,17637.44482,-95859.60356,1277500,0,0,0.7,0,24,,0.301319986,0.349492352,0.318220259,0.336304578,0.371999983,0.836503233
53,NSW1,2021,3.529864212,47933048.65,60,0.698483472,3828.435209,6.005240842,8.178608264,6.660477916,7.246196823,8418819.578,-22032079.05,0,9471.228611,17955.49407,0,18781.82497,35752.0757,16709.05705,-556315.7528,1277500,0,0,0.8,0,24,,0.180337563,0.245603852,0.200014352,0.217603508,0.222638966,0.956003695
54,NSW1,2021,3.526925467,51297110.02,60,0.768416527,3828.435209,1.906576437,4.662883664,2.700958457,3.294151607,10735121.26,-16923766.38,0,3006.977035,20199.93083,0,18781.82497,36905.1456,17856.74327,-1016386.737,1277500,242.02008,0,0.9,0,24,,0.057254548,0.140026536,0.081109864,0.098923472,0.070684627,1.075504157
55,NSW1,2021,3.552248053,54737389.06,60,0.819382446,3828.435209,-2.229852473,1.212383265,-1.204114412,-0.550920585,14236244.56,-13201243.02,-197548.9011,-3516.835228,22444.36759,0,18781.82497,39153.50055,19840.82586,-1431546.75,1277500,702.4774381,0,1,0,24,,-0.066962537,0.036407906,-0.036159592,-0.016544162,-0.082669798,1.195004619
56,NSW1,2021,3.612660524,58217175.24,60,0.84583833,3828.435209,-6.273529712,-1.931440071,-4.873775254,-4.139050934,19044158.97,-11268221.37,-884760.7401,-9894.363218,24688.80435,0,18781.82497,43638.95209,21824.90845,-1784518.91,1277500,1065.534362,0,1.1,0,24,,-0.188394286,-0.058001203,-0.146359617,-0.124295824,-0.232585538,1.314505081
57,NSW1,2021,3.681515246,61733339.61,60,0.864564523,3828.435209,-10.32758769,-4.891911429,-8.523976054,-7.679381626,24327018.92,-9899945.352,-1662227.533,-16288.2633,26933.24111,0,18781.82497,50184.32444,23808.99103,-2125661.619,1277500,779.054541,0,1.2,0,24,,-0.310137768,-0.146904247,-0.255975257,-0.230612061,-0.382886134,1.434005543
58,NSW1,2021,3.756613044,65229587.54,60,0.880696819,3828.435209,-14.35374173,-7.957735133,-12.14853389,-11.17733558,29719645.43,-8721048.073,-2520162.794,-22638.15439,29177.67787,0,18781.82497,55601.92522,25793.07362,-2452599.371,1277500,1078.466238,0,1.3,0,24,,-0.431043295,-0.238971025,-0.364820838,-0.335655723,-0.532152216,1.553506005
59,NSW1,2021,3.836234555,68694324.35,60,0.8916148,3828.435209,-18.39157539,-10.94958983,-15.72679497,-14.64696366,35440098.2,-7923192.209,-3431776.082,-29006.46613,31422.11463,0,18781.82497,59235.20394,27777.1562,-2767253.48,1277500,658.336713,0,1.4,0,24,,-0.552299561,-0.328816511,-0.472276125,-0.439848759,-0.68185131,1.673006466
60,VIC1,2021,2.820554995,21624589.48,60,0,4059.02968,37.62558158,35.26880046,44.63542326,45.19280157,0,-73080764.56,0,59341.58082,0,0,17714.82489,58105.17167,18050.3616,1718404.167,1277500,41881.15174,0,0,0,24,,1.129897345,1.059123137,1.340403101,1.357141188,1.394934993,0
61,VIC1,2021,2.887087872,24581006.87,60,0.089255418,4059.02968,33.76431691,32.12105029,40.19092618,40.6684927,792941.1022,-66557497.33,0,53251.74673,2041.322901,0,17714.82489,58576.10435,17816.06262,1443728.998,1277500,43892.24579,0,0.1,0,24,,1.013943451,0.964596105,1.20693472,1.221276057,1.251782038,0.115232463
62,VIC1,2021,2.956201751,27520739.09,60,0.176700266,4059.02968,29.88752997,28.9923196,35.75978762,36.14448347,1718193.769,-60167026.22,0,47137.43152,4082.645802,0,17714.82489,58185.04972,17566.2054,1175911.487,1277500,44703.20687,0,0.2,0,24,,0.897523422,0.870640228,1.073867496,1.085419924,1.108053608,0.230464926
63,VIC1,2021,3.027508387,30466379.76,60,0.262726446,4059.02968,25.99856096,25.82807678,31.33622351,31.6206732,2747033.231,-53880463.63,0,41003.90324,6123.968703,0,17714.82489,58308.04685,17282.62801,911579.1573,1277500,45743.27546,0,0.3,0,24,,0.780737566,0.775617921,0.941027733,0.949569766,0.963873539,0.345697389
64,VIC1,2021,3.100973995,33372497.81,60,0.347408971,4059.02968,22.09784731,22.59006577,26.916091,27.09681092,3874036.953,-47691981.2,0,34851.85178,8165.291604,0,17714.82489,56881.31148,16869.74902,655963.0495,1277500,44902.72454,0,0.4,0,24,,0.663599018,0.678380354,0.808291021,0.813718046,0.819258047,0.460929851
65,VIC1,2021,3.176700968,36266281.37,60,0.42873138,4059.02968,18.16881964,19.38465797,22.48356527,22.5739887,5245835.557,-41749975.51,0,28655.14456,10206.61451,0,17714.82489,55160.04192,16380.98692,406089.0735,1277500,42922.16673,0,0.5,0,24,,0.545610199,0.582121861,0.67518214,0.677897559,0.673592839,0.576162314
66,VIC1,2021,3.254843081,39163420.02,60,0.509084035,4059.02968,14.23177252,16.08055087,18.05243266,18.05158666,6687845.308,-35878860.45,0,22445.78937,12247.93741,0,17714.82489,54709.9654,15689.09519,160421.1937,1277500,42328.01519,0,0.6,0,24,,0.427380556,0.482899426,0.542115095,0.54208969,0.527630316,0.691394777
67,VIC1,2021,3.335638095,42013837.97,60,0.58739413,4059.02968,10.27742448,12.77165855,13.63571318,13.52965401,8278273.474,-30156922.83,0,16209.14786,14289.26031,0,17714.82489,52938.39905,14748.44613,-74751.29288,1277500,38841.86031,0,0.7,0,24,,0.308631366,0.38353329,0.409480876,0.406295916,0.381026377,0.80662724
68,VIC1,2021,3.419470058,44937096.58,60,0.659117807,4059.02968,6.265965041,9.597535493,9.261062718,9.007941186,10349353.23,-24915992.3,0,9882.432518,16330.58321,0,17714.82489,51946.39725,14436.23913,-312633.1707,1277500,35587.00689,0,0.8,0,24,,0.188167118,0.288214279,0.278109992,0.270508744,0.232305084,0.921859703
69,VIC1,2021,3.513489035,48085937.05,60,0.723557206,4059.02968,2.191756197,6.497792997,4.871949313,4.486903228,12951560.8,-20207280.89,0,3456.751285,18371.90611,0,17714.82489,52461.11095,16240.76902,-557417.6505,1277500,32151.72578,0,0.9,0,24,,0.065818504,0.195128919,0.146304784,0.134741839,0.081257413,1.037092166
